,0,Emotion
0,"﻿ Chapter 1 At the end of the winter, in the Shtcherbatskys’ house, a consultation was being held, which was to pronounce on the state of Kitty’s health and the measures to be taken to restore her failing strength.",anger
1,"She had been ill, and as spring came on she grew worse.",anger
2,"The family doctor gave her cod liver oil, then iron, then nitrate of silver, but as the first and the second and the third were alike in doing no good, and as his advice when spring came was to go abroad, a celebrated physician was called in.",joy
3,"The celebrated physician, a very handsome man, still youngish, asked to examine the patient.",joy
4,"He maintained, with peculiar satisfaction, it seemed, that maiden modesty is a mere relic of barbarism, and that nothing could be more natural than for a man still youngish to handle a young girl naked.",sadness
5,"He thought it natural because he did it every day, and felt and thought, as it seemed to him, no harm as he did it and consequently he considered modesty in the girl not merely as a relic of barbarism, but also as an insult to himself.",anger
6,"There was nothing for it but to submit, since, although all the doctors had studied in the same school, had read the same books, and learned the same science, and though some people said this celebrated doctor was a bad doctor, in the princess’s household and circle it was for some reason accepted that this celebrated doctor alone had some special knowledge, and that he alone could save Kitty.",joy
7,"After a careful examination and sounding of the bewildered patient, dazed with shame, the celebrated doctor, having scrupulously washed his hands, was standing in the drawing-room talking to the prince.",joy
8,"The prince frowned and coughed, listening to the doctor.",anger
9,"As a man who had seen something of life, and neither a fool nor an invalid, he had no faith in medicine, and in his heart was furious at the whole farce, specially as he was perhaps the only one who fully comprehended the cause of Kitty’s illness.",anger
10,"“Conceited blockhead!” he thought, as he listened to the celebrated doctor’s chatter about his daughter’s symptoms.",joy
11,"The doctor was meantime with difficulty restraining the expression of his contempt for this old gentleman, and with difficulty condescending to the level of his intelligence.",anger
12,"He perceived that it was no good talking to the old man, and that the principal person in the house was the mother.",anger
13,Before her he decided to scatter his pearls.,anger
14,At that instant the princess came into the drawing-room with the family doctor.,anger
15,"The prince withdrew, trying not to show how ridiculous he thought the whole performance.",anger
16,"The princess was distracted, and did not know what to do.",anger
17,She felt she had sinned against Kitty.,sadness
18,"“Well, doctor, decide our fate,” said the princess.",joy
19,"“Tell me everything.” “Is there hope?” she meant to say, but her lips quivered, and she could not utter the question.",anger
20,"“Well, doctor?” “Immediately, princess.",joy
21,"I will talk it over with my colleague, and then I will have the honor of laying my opinion before you.” “So we had better leave you?” “As you please.” The princess went out with a sigh.",sadness
22,"When the doctors were left alone, the family doctor began timidly explaining his opinion, that there was a commencement of tuberculous trouble, but ... and so on.",anger
23,"The celebrated doctor listened to him, and in the middle of his sentence looked at his big gold watch.",joy
24,"“Yes,” said he.",anger
25,“But....” The family doctor respectfully ceased in the middle of his observations.,anger
26,"“The commencement of the tuberculous process we are not, as you are aware, able to define; till there are cavities, there is nothing definite.",joy
27,But we may suspect it.,anger
28,"And there are indications; malnutrition, nervous excitability, and so on.",fear
29,"The question stands thus: in presence of indications of tuberculous process, what is to be done to maintain nutrition?” “But, you know, there are always moral, spiritual causes at the back in these cases,” the family doctor permitted himself to interpolate with a subtle smile.",joy
30,"“Yes, that’s an understood thing,” responded the celebrated physician, again glancing at his watch.",joy
31,"“Beg pardon, is the Yausky bridge done yet, or shall I have to drive around?” he asked.",anger
32,“Ah!,anger
33,it is.,anger
34,"Oh, well, then I can do it in twenty minutes.",joy
35,So we were saying the problem may be put thus: to maintain nutrition and to give tone to the nerves.,fear
36,"The one is in close connection with the other, one must attack both sides at once.” “And how about a tour abroad?” asked the family doctor.",anger
37,“I’ve no liking for foreign tours.,anger
38,"And take note: if there is an early stage of tuberculous process, of which we cannot be certain, a foreign tour will be of no use.",joy
39,"What is wanted is means of improving nutrition, and not for lowering it.” And the celebrated doctor expounded his plan of treatment with Soden waters, a remedy obviously prescribed primarily on the ground that they could do no harm.",joy
40,The family doctor listened attentively and respectfully.,anger
41,"“But in favor of foreign travel I would urge the change of habits, the removal from conditions calling up reminiscences.",anger
42,"And then the mother wishes it,” he added.",anger
43,“Ah!,anger
44,"Well, in that case, to be sure, let them go.",joy
45,"Only, those German quacks are mischievous....",anger
46,"They ought to be persuaded.... Well, let them go then.” He glanced once more at his watch.",anger
47,“Oh!,anger
48,"time’s up already,” And he went to the door.",anger
49,The celebrated doctor announced to the princess (a feeling of what was due from him dictated his doing so) that he ought to see the patient once more.,joy
50,“What!,anger
51,"another examination!” cried the mother, with horror.",fear
52,"“Oh, no, only a few details, princess.” “Come this way.” And the mother, accompanied by the doctor, went into the drawing-room to Kitty.",anger
53,"Wasted and flushed, with a peculiar glitter in her eyes, left there by the agony of shame she had been put through, Kitty stood in the middle of the room.",sadness
54,"When the doctor came in she flushed crimson, and her eyes filled with tears.",sadness
55,"All her illness and treatment struck her as a thing so stupid, ludicrous even!",anger
56,Doctoring her seemed to her as absurd as putting together the pieces of a broken vase.,anger
57,Her heart was broken.,sadness
58,Why would they try to cure her with pills and powders?,anger
59,"But she could not grieve her mother, especially as her mother considered herself to blame.",anger
60,"“May I trouble you to sit down, princess?” the celebrated doctor said to her.",joy
61,"He sat down with a smile, facing her, felt her pulse, and again began asking her tiresome questions.",fear
62,"She answered him, and all at once got up, furious.",anger
63,"“Excuse me, doctor, but there is really no object in this.",anger
