,0,Emotion
0,"﻿ Darya Alexandrovna spent the summer with her children at Pokrovskoe, at her sister Kitty Levin’s.",anger
1,"The house on her own estate was quite in ruins, and Levin and his wife had persuaded her to spend the summer with them.",anger
2,Stepan Arkadyevitch greatly approved of the arrangement.,anger
3,"He said he was very sorry his official duties prevented him from spending the summer in the country with his family, which would have been the greatest happiness for him; and remaining in Moscow, he came down to the country from time to time for a day or two.",anger
4,"Besides the Oblonskys, with all their children and their governess, the old princess too came to stay that summer with the Levins, as she considered it her duty to watch over her inexperienced daughter in her _interesting condition_.",joy
5,"Moreover, Varenka, Kitty’s friend abroad, kept her promise to come to Kitty when she was married, and stayed with her friend.",anger
6,All of these were friends or relations of Levin’s wife.,anger
7,"And though he liked them all, he rather regretted his own Levin world and ways, which was smothered by this influx of the “Shtcherbatsky element,” as he called it to himself.",anger
8,"Of his own relations there stayed with him only Sergey Ivanovitch, but he too was a man of the Koznishev and not the Levin stamp, so that the Levin spirit was utterly obliterated.",sadness
9,"In the Levins’ house, so long deserted, there were now so many people that almost all the rooms were occupied, and almost every day it happened that the old princess, sitting down to table, counted them all over, and put the thirteenth grandson or granddaughter at a separate table.",sadness
10,"And Kitty, with her careful housekeeping, had no little trouble to get all the chickens, turkeys, and geese, of which so many were needed to satisfy the summer appetites of the visitors and children.",joy
11,The whole family were sitting at dinner.,anger
12,"Dolly’s children, with their governess and Varenka, were making plans for going to look for mushrooms.",joy
13,"Sergey Ivanovitch, who was looked up to by all the party for his intellect and learning, with a respect that almost amounted to awe, surprised everyone by joining in the conversation about mushrooms.",surprise
14,“Take me with you.,anger
15,"I am very fond of picking mushrooms,” he said, looking at Varenka; “I think it’s a very nice occupation.” “Oh, we shall be delighted,” answered Varenka, coloring a little.",joy
16,Kitty exchanged meaningful glances with Dolly.,anger
17,The proposal of the learned and intellectual Sergey Ivanovitch to go looking for mushrooms with Varenka confirmed certain theories of Kitty’s with which her mind had been very busy of late.,anger
18,"She made haste to address some remark to her mother, so that her look should not be noticed.",anger
19,"After dinner Sergey Ivanovitch sat with his cup of coffee at the drawing-room window, and while he took part in a conversation he had begun with his brother, he watched the door through which the children would start on the mushroom-picking expedition.",anger
20,Levin was sitting in the window near his brother.,anger
21,"Kitty stood beside her husband, evidently awaiting the end of a conversation that had no interest for her, in order to tell him something.",anger
22,"“You have changed in many respects since your marriage, and for the better,” said Sergey Ivanovitch, smiling to Kitty, and obviously little interested in the conversation, “but you have remained true to your passion for defending the most paradoxical theories.” “Katya, it’s not good for you to stand,” her husband said to her, putting a chair for her and looking significantly at her.",anger
23,"“Oh, and there’s no time either,” added Sergey Ivanovitch, seeing the children running out.",anger
24,"At the head of them all Tanya galloped sideways, in her tightly-drawn stockings, and waving a basket and Sergey Ivanovitch’s hat, she ran straight up to him.",anger
25,"Boldly running up to Sergey Ivanovitch with shining eyes, so like her father’s fine eyes, she handed him his hat and made as though she would put it on for him, softening her freedom by a shy and friendly smile.",joy
26,"“Varenka’s waiting,” she said, carefully putting his hat on, seeing from Sergey Ivanovitch’s smile that she might do so.",joy
27,"Varenka was standing at the door, dressed in a yellow print gown, with a white kerchief on her head.",anger
28,"“I’m coming, I’m coming, Varvara Andreevna,” said Sergey Ivanovitch, finishing his cup of coffee, and putting into their separate pockets his handkerchief and cigar-case.",anger
29,“And how sweet my Varenka is!,joy
30,"eh?” said Kitty to her husband, as soon as Sergey Ivanovitch rose.",anger
31,"She spoke so that Sergey Ivanovitch could hear, and it was clear that she meant him to do so.",anger
32,“And how good-looking she is—such a refined beauty!,joy
33,Varenka!” Kitty shouted.,anger
34,“Shall you be in the mill copse?,anger
35,"We’ll come out to you.” “You certainly forget your condition, Kitty,” said the old princess, hurriedly coming out at the door.",anger
36,"“You mustn’t shout like that.” Varenka, hearing Kitty’s voice and her mother’s reprimand, went with light, rapid steps up to Kitty.",joy
37,"The rapidity of her movement, her flushed and eager face, everything betrayed that something out of the common was going on in her.",joy
38,"Kitty knew what this was, and had been watching her intently.",anger
39,"She called Varenka at that moment merely in order mentally to give her a blessing for the important event which, as Kitty fancied, was bound to come to pass that day after dinner in the wood.",joy
40,"“Varenka, I should be very happy if a certain something were to happen,” she whispered as she kissed her.",joy
41,"“And are you coming with us?” Varenka said to Levin in confusion, pretending not to have heard what had been said.",anger
42,"“I am coming, but only as far as the threshing-floor, and there I shall stop.” “Why, what do you want there?” said Kitty.",anger
43,"“I must go to have a look at the new wagons, and to check the invoice,” said Levin; “and where will you be?” “On the terrace.” On the terrace were assembled all the ladies of the party.",anger
44,"They always liked sitting there after dinner, and that day they had work to do there too.",anger
45,"Besides the sewing and knitting of baby clothes, with which all of them were busy, that afternoon jam was being made on the terrace by a method new to Agafea Mihalovna, without the addition of water.",joy
46,"Kitty had introduced this new method, which had been in use in her home.",anger
47,"Agafea Mihalovna, to whom the task of jam-making had always been intrusted, considering that what had been done in the Levin household could not be amiss, had nevertheless put water with the strawberries, maintaining that the jam could not be made without it.",anger
48,"She had been caught in the act, and was now making jam before everyone, and it was to be proved to her conclusively that jam could be very well made without water.",joy
49,"Agafea Mihalovna, her face heated and angry, her hair untidy, and her thin arms bare to the elbows, was turning the preserving-pan over the charcoal stove, looking darkly at the raspberries and devoutly hoping they would stick and not cook properly.",anger
50,"The princess, conscious that Agafea Mihalovna’s wrath must be chiefly directed against her, as the person responsible for the raspberry jam-making, tried to appear to be absorbed in other things and not interested in the jam, talked of other matters, but cast stealthy glances in the direction of the stove.",anger
51,"“I always buy my maids’ dresses myself, of some cheap material,” the princess said, continuing the previous conversation.",joy
52,"“Isn’t it time to skim it, my dear?” she added, addressing Agafea Mihalovna.",anger
