,0,Emotion
0,﻿ Happy families are all alike; every unhappy family is unhappy in its own way.,sadness
1,Everything was in confusion in the Oblonskys’ house.,anger
2,"The wife had discovered that the husband was carrying on an intrigue with a French girl, who had been a governess in their family, and she had announced to her husband that she could not go on living in the same house with him.",anger
3,"This position of affairs had now lasted three days, and not only the husband and wife themselves, but all the members of their family and household, were painfully conscious of it.",joy
4,"Every person in the house felt that there was no sense in their living together, and that the stray people brought together by chance in any inn had more in common with one another than they, the members of the family and household of the Oblonskys.",sadness
5,"The wife did not leave her own room, the husband had not been at home for three days.",anger
6,"The children ran wild all over the house; the English governess quarreled with the housekeeper, and wrote to a friend asking her to look out for a new situation for her; the man-cook had walked off the day before just at dinner time; the kitchen-maid, and the coachman had given warning.",anger
7,"Three days after the quarrel, Prince Stepan Arkadyevitch Oblonsky—Stiva, as he was called in the fashionable world—woke up at his usual hour, that is, at eight o’clock in the morning, not in his wife’s bedroom, but on the leather-covered sofa in his study.",anger
8,"He turned over his stout, well-cared-for person on the springy sofa, as though he would sink into a long sleep again; he vigorously embraced the pillow on the other side and buried his face in it; but all at once he jumped up, sat up on the sofa, and opened his eyes.",joy
9,"“Yes, yes, how was it now?” he thought, going over his dream.",anger
10,"“Now, how was it?",anger
11,To be sure!,joy
12,"Alabin was giving a dinner at Darmstadt; no, not Darmstadt, but something American.",joy
13,"Yes, but then, Darmstadt was in America.",anger
14,"Yes, Alabin was giving a dinner on glass tables, and the tables sang, _Il mio tesoro_—not _Il mio tesoro_ though, but something better, and there were some sort of little decanters on the table, and they were women, too,” he remembered.",sadness
15,"Stepan Arkadyevitch’s eyes twinkled gaily, and he pondered with a smile.",joy
16,"“Yes, it was nice, very nice.",joy
17,"There was a great deal more that was delightful, only there’s no putting it into words, or even expressing it in one’s thoughts awake.” And noticing a gleam of light peeping in beside one of the serge curtains, he cheerfully dropped his feet over the edge of the sofa, and felt about with them for his slippers, a present on his last birthday, worked for him by his wife on gold-colored morocco.",joy
18,"And, as he had done every day for the last nine years, he stretched out his hand, without getting up, towards the place where his dressing-gown always hung in his bedroom.",sadness
19,"And thereupon he suddenly remembered that he was not sleeping in his wife’s room, but in his study, and why: the smile vanished from his face, he knitted his brows.",joy
20,"“Ah, ah, ah!",joy
21,"Oo!...” he muttered, recalling everything that had happened.",anger
22,"And again every detail of his quarrel with his wife was present to his imagination, all the hopelessness of his position, and worst of all, his own fault.",sadness
23,"“Yes, she won’t forgive me, and she can’t forgive me.",anger
24,"And the most awful thing about it is that it’s all my fault—all my fault, though I’m not to blame.",anger
25,"That’s the point of the whole situation,” he reflected.",anger
26,"“Oh, oh, oh!” he kept repeating in despair, as he remembered the acutely painful sensations caused him by this quarrel.",sadness
27,"Most unpleasant of all was the first minute when, on coming, happy and good-humored, from the theater, with a huge pear in his hand for his wife, he had not found his wife in the drawing-room, to his surprise had not found her in the study either, and saw her at last in her bedroom with the unlucky letter that revealed everything in her hand.",anger
28,"She, his Dolly, forever fussing and worrying over household details, and limited in her ideas, as he considered, was sitting perfectly still with the letter in her hand, looking at him with an expression of horror, despair, and indignation.",sadness
29,“What’s this?,joy
30,"this?” she asked, pointing to the letter.",anger
31,"And at this recollection, Stepan Arkadyevitch, as is so often the case, was not so much annoyed at the fact itself as at the way in which he had met his wife’s words.",anger
32,There happened to him at that instant what does happen to people when they are unexpectedly caught in something very disgraceful.,fear
33,He did not succeed in adapting his face to the position in which he was placed towards his wife by the discovery of his fault.,anger
34,"Instead of being hurt, denying, defending himself, begging forgiveness, instead of remaining indifferent even—anything would have been better than what he did do—his face utterly involuntarily (reflex spinal action, reflected Stepan Arkadyevitch, who was fond of physiology)—utterly involuntarily assumed its habitual, good-humored, and therefore idiotic smile.",joy
35,This idiotic smile he could not forgive himself.,anger
36,"Catching sight of that smile, Dolly shuddered as though at physical pain, broke out with her characteristic heat into a flood of cruel words, and rushed out of the room.",anger
37,Since then she had refused to see her husband.,anger
38,"“It’s that idiotic smile that’s to blame for it all,” thought Stepan Arkadyevitch.",anger
39,“But what’s to be done?,anger
40,"What’s to be done?” he said to himself in despair, and found no answer.",anger
41,Stepan Arkadyevitch was a truthful man in his relations with himself.,anger
42,He was incapable of deceiving himself and persuading himself that he repented of his conduct.,anger
43,"He could not at this date repent of the fact that he, a handsome, susceptible man of thirty-four, was not in love with his wife, the mother of five living and two dead children, and only a year younger than himself.",joy
44,All he repented of was that he had not succeeded better in hiding it from his wife.,anger
45,"But he felt all the difficulty of his position and was sorry for his wife, his children, and himself.",sadness
46,Possibly he might have managed to conceal his sins better from his wife if he had anticipated that the knowledge of them would have had such an effect on her.,anger
47,"He had never clearly thought out the subject, but he had vaguely conceived that his wife must long ago have suspected him of being unfaithful to her, and shut her eyes to the fact.",anger
48,"He had even supposed that she, a worn-out woman no longer young or good-looking, and in no way remarkable or interesting, merely a good mother, ought from a sense of fairness to take an indulgent view.",joy
49,It had turned out quite the other way.,anger
50,"“Oh, it’s awful!",sadness
51,"oh dear, oh dear!",joy
52,"awful!” Stepan Arkadyevitch kept repeating to himself, and he could think of nothing to be done.",anger
53,“And how well things were going up till now!,joy
54,how well we got on!,anger
55,She was contented and happy in her children; I never interfered with her in anything; I let her manage the children and the house just as she liked.,joy
56,It’s true it’s bad _her_ having been a governess in our house.,anger
57,That’s bad!,sadness
58,"There’s something common, vulgar, in flirting with one’s governess.",anger
59,But what a governess!” (He vividly recalled the roguish black eyes of Mlle.,joy
60,Roland and her smile.),joy
61,"“But after all, while she was in the house, I kept myself in hand.",anger
62,And the worst of it all is that she’s already ... it seems as if ill-luck would have it so!,anger
63,"Oh, oh!",joy
64,"But what, what is to be done?” There was no solution, but that universal solution which life gives to all questions, even the most complex and insoluble.",joy
65,"That answer is: one must live in the needs of the day—that is, forget oneself.",anger
66,"To forget himself in sleep was impossible now, at least till nighttime; he could not go back now to the music sung by the decanter-women; so he must forget himself in the dream of daily life.",sadness
67,"“Then we shall see,” Stepan Arkadyevitch said to himself, and getting up he put on a gray dressing-gown lined with blue silk, tied the tassels in a knot, and, drawing a deep breath of air into his broad, bare chest, he walked to the window with his usual confident step, turning out his feet that carried his full frame so easily.",joy
68,He pulled up the blind and rang the bell loudly.,anger
69,"It was at once answered by the appearance of an old friend, his valet, Matvey, carrying his clothes, his boots, and a telegram.",anger
70,Matvey was followed by the barber with all the necessaries for shaving.,anger
71,"“Are there any papers from the office?” asked Stepan Arkadyevitch, taking the telegram and seating himself at the looking-glass.",anger
72,"“On the table,” replied Matvey, glancing with inquiring sympathy at his master; and, after a short pause, he added with a sly smile, “They’ve sent from the carriage-jobbers.” Stepan Arkadyevitch made no reply, he merely glanced at Matvey in the looking-glass.",anger
73,"In the glance, in which their eyes met in the looking-glass, it was clear that they understood one another.",anger
74,Stepan Arkadyevitch’s eyes asked: “Why do you tell me that?,anger
75,"don’t you know?” Matvey put his hands in his jacket pockets, thrust out one leg, and gazed silently, good-humoredly, with a faint smile, at his master.",joy
76,"“I told them to come on Sunday, and till then not to trouble you or themselves for nothing,” he said.",anger
77,He had obviously prepared the sentence beforehand.,anger
78,Stepan Arkadyevitch saw Matvey wanted to make a joke and attract attention to himself.,anger
79,"Tearing open the telegram, he read it through, guessing at the words, misspelt as they always are in telegrams, and his face brightened.",anger
80,"“Matvey, my sister Anna Arkadyevna will be here tomorrow,” he said, checking for a minute the sleek, plump hand of the barber, cutting a pink path through his long, curly whiskers.",anger
81,"“Thank God!” said Matvey, showing by this response that he, like his master, realized the significance of this arrival—that is, that Anna Arkadyevna, the sister he was so fond of, might bring about a reconciliation between husband and wife.",anger
82,"“Alone, or with her husband?” inquired Matvey.",anger
83,"Stepan Arkadyevitch could not answer, as the barber was at work on his upper lip, and he raised one finger.",anger
84,Matvey nodded at the looking-glass.,anger
85,“Alone.,anger
86,"Is the room to be got ready upstairs?” “Inform Darya Alexandrovna: where she orders.” “Darya Alexandrovna?” Matvey repeated, as though in doubt.",joy
87,"“Yes, inform her.",anger
88,"Here, take the telegram; give it to her, and then do what she tells you.” “You want to try it on,” Matvey understood, but he only said, “Yes, sir.” Stepan Arkadyevitch was already washed and combed and ready to be dressed, when Matvey, stepping deliberately in his creaky boots, came back into the room with the telegram in his hand.",anger
89,The barber had gone.,anger
90,“Darya Alexandrovna told me to inform you that she is going away.,anger
91,"Let him do—that is you—as he likes,” he said, laughing only with his eyes, and putting his hands in his pockets, he watched his master with his head on one side.",anger
92,Stepan Arkadyevitch was silent a minute.,fear
93,Then a good-humored and rather pitiful smile showed itself on his handsome face.,joy
94,"“Eh, Matvey?” he said, shaking his head.",anger
95,"“It’s all right, sir; she will come round,” said Matvey.",anger
96,"“Come round?” “Yes, sir.” “Do you think so?",anger
97,"Who’s there?” asked Stepan Arkadyevitch, hearing the rustle of a woman’s dress at the door.",anger
98,"“It’s I,” said a firm, pleasant, woman’s voice, and the stern, pockmarked face of Matrona Philimonovna, the nurse, was thrust in at the doorway.",joy
99,"“Well, what is it, Matrona?” queried Stepan Arkadyevitch, going up to her at the door.",anger
100,"Although Stepan Arkadyevitch was completely in the wrong as regards his wife, and was conscious of this himself, almost everyone in the house (even the nurse, Darya Alexandrovna’s chief ally) was on his side.",anger
101,"“Well, what now?” he asked disconsolately.",anger
102,"“Go to her, sir; own your fault again.",anger
103,Maybe God will aid you.,anger
104,"She is suffering so, it’s sad to see her; and besides, everything in the house is topsy-turvy.",sadness
105,"You must have pity, sir, on the children.",anger
106,"Beg her forgiveness, sir.",anger
107,There’s no help for it!,anger
108,One must take the consequences....” “But she won’t see me.” “You do your part.,anger
109,"God is merciful; pray to God, sir, pray to God.” “Come, that’ll do, you can go,” said Stepan Arkadyevitch, blushing suddenly.",anger
110,"“Well now, do dress me.” He turned to Matvey and threw off his dressing-gown decisively.",anger
111,"Matvey was already holding up the shirt like a horse’s collar, and, blowing off some invisible speck, he slipped it with obvious pleasure over the well-groomed body of his master.",joy
112,"When he was dressed, Stepan Arkadyevitch sprinkled some scent on himself, pulled down his shirt-cuffs, distributed into his pockets his cigarettes, pocketbook, matches, and watch with its double chain and seals, and shaking out his handkerchief, feeling himself clean, fragrant, healthy, and physically at ease, in spite of his unhappiness, he walked with a slight swing on each leg into the dining-room, where coffee was already waiting for him, and beside the coffee, letters and papers from the office.",joy
113,He read the letters.,anger
114,"One was very unpleasant, from a merchant who was buying a forest on his wife’s property.",anger
115,"To sell this forest was absolutely essential; but at present, until he was reconciled with his wife, the subject could not be discussed.",anger
